('NL.', 'AS.', 'OE.', 'OE.')
('AS.', 'NL.', 'AS.', 'OE.')
('L.', 'NL.', 'AS.', 'L.')
('AS.', 'AS.', 'NL.', 'AS.')
('NL.', 'AS.', 'L.', 'L.')
('NL.', 'AS.', 'L.', 'AS.')
('OF.', 'OF.', 'OE.', 'L.')
('L.', 'OE.', 'OE.', 'NL.')
('AS.', 'OF.', 'L.', 'L.')
('OF.', 'OF.', 'L.', 'OE.')
('NL.', 'AS.', 'AS.', 'OE.')
('OF.', 'AS.', 'OF.', 'L.')
('AS.', 'OF.', 'OF.', 'L.')
('OE.', 'NL.', 'AS.', 'AS.')
('F.', 'OF.', 'AS.', 'OE.')
('L.', 'L.', 'OF.', 'OF.')
('OE.', 'OE.', 'NL.', 'AS.')
('OF.', 'L.', 'L.', 'OE.')
('OE.', 'OE.', 'L.', 'NL.')
('OE.', 'L.', 'NL.', 'OE.')
('OE.', 'NL.', 'OE.', 'AS.')
('L.', 'OF.', 'L.', 'OE.')
('OF.', 'OF.', 'OE.', 'OE.')
('AS.', 'NL.', 'L.', 'F.')
('NL.', 'L.', 'F.', 'AS.')
('L.', 'OF.', 'OE.', 'L.')
('L.', 'NL.', 'OE.', 'OE.')
('F.', 'OF.', 'OE.', 'OE.')
('OE.', 'F.', 'OF.', 'OE.')
('OE.', 'AS.', 'OE.', 'NL.')
('OE.', 'AS.', 'NL.', 'L.')
('L.', 'OE.', 'L.', 'NL.')
('L.', 'OE.', 'F.', 'OF.')
('AS.', 'OE.', 'NL.', 'OE.')
('AS.', 'AS.', 'OF.', 'OF.')
('F.', 'OE.', 'OE.', 'OF.')
('OE.', 'OE.', 'OF.', 'F.')
('OE.', 'F.', 'AS.', 'OF.')
('OE.', 'OF.', 'F.', 'OE.')
('OE.', 'L.', 'OF.', 'OF.')
('OF.', 'L.', 'AS.', 'L.')
('L.', 'OF.', 'L.', 'F.')
('AS.', 'OE.', 'NL.', 'L.')
('OE.', 'OE.', 'NL.', 'L.')
('OF.', 'OF.', 'L.', 'L.')
('OE.', 'OE.', 'OE.', 'NL.')
('NL.', 'L.', 'OE.', 'F.')
('OE.', 'NL.', 'L.', 'L.')
('AS.', 'F.', 'OF.', 'L.')
('OE.', 'OE.', 'OF.', 'OF.')
('OF.', 'AS.', 'NL.', 'OE.')
('AS.', 'AS.', 'OF.', 'F.')
('OE.', 'NL.', 'L.', 'OE.')
('OE.', 'OF.', 'OF.', 'L.')
('AS.', 'AS.', 'OE.', 'NL.')
('NL.', 'OE.', 'AS.', 'L.')
('OE.', 'OE.', 'AS.', 'NL.')
('NL.', 'L.', 'L.', 'OE.')
('AS.', 'L.', 'OF.', 'L.')
('L.', 'F.', 'OF.', 'OE.')
('F.', 'OF.', 'OE.', 'L.')
('AS.', 'L.', 'F.', 'OF.')
('AS.', 'F.', 'OF.', 'OE.')
('F.', 'OF.', 'OE.', 'OF.')
('F.', 'AS.', 'OF.', 'L.')
('OF.', 'AS.', 'L.', 'F.')
('OF.', 'AS.', 'F.', 'OF.')
('L.', 'F.', 'L.', 'OF.')
('F.', 'F.', 'OF.', 'OE.')
('L.', 'OF.', 'AS.', 'F.')
('L.', 'L.', 'OF.', 'AS.')
('OF.', 'OE.', 'OF.', 'AS.')
('OE.', 'OF.', 'F.', 'L.')
('F.', 'AS.', 'F.', 'OF.')
